ispitanik,dob,dobna_skupina_sifra,dobna_skupina,minute_dnevno,povjerenje
I079,20,1,18 do 24,79,6
I080,24,1,18 do 24,144,7
I081,18,1,18 do 24,70,5
I082,22,1,18 do 24,64,6
I083,20,1,18 do 24,53,5
I084,19,1,18 do 24,52,5
I085,24,1,18 do 24,68,6
I086,22,1,18 do 24,66,5
I087,21,1,18 do 24,73,7
I088,22,1,18 do 24,87,8
I089,20,1,18 do 24,55,10
I090,20,1,18 do 24,81,7
I091,27,2,25 do 34,61,4
I092,28,2,25 do 34,127,4
I093,28,2,25 do 34,50,7
I094,29,2,25 do 34,28,9
I095,27,2,25 do 34,56,5
I096,33,2,25 do 34,106,3
I097,32,2,25 do 34,30,5
I098,27,2,25 do 34,31,4
I099,27,2,25 do 34,24,7
I100,32,2,25 do 34,38,5
I101,28,2,25 do 34,119,6
I102,32,2,25 do 34,23,8
I103,27,2,25 do 34,22,7
I104,25,2,25 do 34,105,2
I105,30,2,25 do 34,23,7
I106,25,2,25 do 34,64,5
I107,26,2,25 do 34,57,6
I108,33,2,25 do 34,54,7
I109,30,2,25 do 34,19,8
I110,31,2,25 do 34,41,5
I111,31,2,25 do 34,52,7
I112,33,2,25 do 34,51,4
I113,29,2,25 do 34,28,4
I114,27,2,25 do 34,125,10
I115,27,2,25 do 34,39,4
I116,33,2,25 do 34,47,6
I117,29,2,25 do 34,59,5
I118,28,2,25 do 34,46,7
I119,25,2,25 do 34,42,8
I120,28,2,25 do 34,106,8
I121,28,2,25 do 34,23,8
I122,27,2,25 do 34,51,7
I123,34,2,25 do 34,38,7
I124,30,2,25 do 34,86,6
I125,26,2,25 do 34,33,4
I126,32,2,25 do 34,71,5
I127,28,2,25 do 34,74,6
I128,28,2,25 do 34,29,4
I129,34,2,25 do 34,70,6
I130,27,2,25 do 34,38,8
I131,28,2,25 do 34,23,5
I132,34,2,25 do 34,36,5
I133,31,2,25 do 34,31,6
I134,27,2,25 do 34,47,4
I135,28,2,25 do 34,116,7
I136,27,2,25 do 34,46,7
I137,34,2,25 do 34,27,6
I138,27,2,25 do 34,52,6
I139,25,2,25 do 34,25,6
I140,25,2,25 do 34,29,7
I141,33,2,25 do 34,75,3
I142,25,2,25 do 34,10,5
I143,26,2,25 do 34,25,8
I144,30,2,25 do 34,83,5
I145,27,2,25 do 34,27,4
I146,28,2,25 do 34,45,7
I147,34,2,25 do 34,75,5
I148,29,2,25 do 34,89,7
I149,34,2,25 do 34,62,8
I150,31,2,25 do 34,36,5
I151,29,2,25 do 34,45,5
I152,25,2,25 do 34,23,6
I153,31,2,25 do 34,37,6
I154,26,2,25 do 34,44,5
I155,29,2,25 do 34,89,5
I156,34,2,25 do 34,38,6
I157,32,2,25 do 34,72,5
I158,30,2,25 do 34,30,3
I159,31,2,25 do 34,111,4
I160,28,2,25 do 34,75,3
I161,26,2,25 do 34,68,1
I162,25,2,25 do 34,34,5
I163,27,2,25 do 34,17,6
I164,31,2,25 do 34,84,4
I165,33,2,25 do 34,21,7
I166,34,2,25 do 34,125,3
I167,33,2,25 do 34,75,3
I168,29,2,25 do 34,81,6
I169,29,2,25 do 34,44,5
I170,31,2,25 do 34,71,7
I171,28,2,25 do 34,79,5
I172,32,2,25 do 34,45,5
I173,25,2,25 do 34,69,3
I174,31,2,25 do 34,45,5
I175,40,3,35 do 44,113,5
I176,42,3,35 do 44,29,5
I177,40,3,35 do 44,20,3
I178,42,3,35 do 44,35,5
I179,37,3,35 do 44,25,3
I180,39,3,35 do 44,23,6
I181,37,3,35 do 44,52,6
I182,40,3,35 do 44,18,4
I183,44,3,35 do 44,28,3
I184,36,3,35 do 44,35,6
I185,40,3,35 do 44,17,6
I186,42,3,35 do 44,22,6
I187,36,3,35 do 44,63,5
I188,39,3,35 do 44,52,5
I189,40,3,35 do 44,26,6
I190,41,3,35 do 44,30,4
I191,35,3,35 do 44,54,5
I192,40,3,35 do 44,72,4
I193,38,3,35 do 44,13,4
I194,36,3,35 do 44,22,5
I195,39,3,35 do 44,13,7
I196,37,3,35 do 44,26,3
I197,37,3,35 do 44,16,5
I198,43,3,35 do 44,60,5
I199,44,3,35 do 44,26,4
I200,42,3,35 do 44,11,1
I201,42,3,35 do 44,32,8
I202,39,3,35 do 44,56,3
I203,38,3,35 do 44,21,5
I204,36,3,35 do 44,37,2
I205,39,3,35 do 44,48,5
I206,38,3,35 do 44,32,3
I207,44,3,35 do 44,49,2
I208,42,3,35 do 44,21,4
I209,40,3,35 do 44,19,8
I210,36,3,35 do 44,26,5
I211,44,3,35 do 44,85,3
I212,37,3,35 do 44,71,7
I213,43,3,35 do 44,15,6
I214,43,3,35 do 44,22,6
I215,36,3,35 do 44,17,7
I216,35,3,35 do 44,18,5
I217,44,3,35 do 44,26,4
I218,37,3,35 do 44,37,6
I219,35,3,35 do 44,30,5
I220,41,3,35 do 44,9,7
I221,37,3,35 do 44,22,5
I222,41,3,35 do 44,40,7
I223,39,3,35 do 44,20,4
I224,41,3,35 do 44,17,7
I225,40,3,35 do 44,19,4
I226,38,3,35 do 44,10,4
I227,39,3,35 do 44,28,4
I228,35,3,35 do 44,10,5
I229,44,3,35 do 44,52,7
I230,36,3,35 do 44,13,5
I231,37,3,35 do 44,35,4
I232,39,3,35 do 44,68,5
I233,43,3,35 do 44,20,4
I234,35,3,35 do 44,46,4
I235,41,3,35 do 44,49,3
I236,44,3,35 do 44,51,8
I237,41,3,35 do 44,17,8
I238,41,3,35 do 44,24,3
I239,40,3,35 do 44,11,5
I240,41,3,35 do 44,15,5
I241,53,4,45 i više,28,4
I242,46,4,45 i više,4,2
I243,55,4,45 i više,15,4
I244,58,4,45 i više,10,5
I245,56,4,45 i više,6,6
I246,49,4,45 i više,10,7
I247,67,4,45 i više,15,3
I248,54,4,45 i više,6,3
I249,47,4,45 i više,8,2
I250,54,4,45 i više,8,4
I251,51,4,45 i više,37,6
I252,61,4,45 i više,8,3
I253,48,4,45 i više,10,7
I254,68,4,45 i više,18,6
I255,57,4,45 i više,7,4
I256,52,4,45 i više,8,2
I257,54,4,45 i više,4,5
I258,60,4,45 i više,11,5
I259,54,4,45 i više,30,4
I260,70,4,45 i više,10,6
I261,49,4,45 i više,27,4
I262,57,4,45 i više,13,2
I263,56,4,45 i više,26,4
I264,50,4,45 i više,19,5
I265,63,4,45 i više,7,6
I266,52,4,45 i više,15,6
I267,51,4,45 i više,10,4
I268,70,4,45 i više,18,5
I269,53,4,45 i više,15,4
I270,66,4,45 i više,33,8
I271,60,4,45 i više,3,2
I272,64,4,45 i više,12,5
I273,56,4,45 i više,22,6
I274,60,4,45 i više,22,6
I275,57,4,45 i više,16,4
I276,56,4,45 i više,27,3
I277,54,4,45 i više,17,6
I278,59,4,45 i više,18,6
I279,58,4,45 i više,29,2
I280,67,4,45 i više,37,5
I281,50,4,45 i više,10,1
I282,46,4,45 i više,26,4
I283,45,4,45 i više,26,3
I284,54,4,45 i više,3,5
I285,55,4,45 i više,13,8
I286,59,4,45 i više,16,4
I287,63,4,45 i više,9,6
I288,68,4,45 i više,39,7
I289,51,4,45 i više,3,6
I290,66,4,45 i više,29,6
I291,45,4,45 i više,26,2
I292,57,4,45 i više,15,5
I293,51,4,45 i više,12,3
I294,70,4,45 i više,12,5
I295,48,4,45 i više,9,4
I296,54,4,45 i više,24,3
I297,64,4,45 i više,16,5
I298,66,4,45 i više,5,5
I299,53,4,45 i više,13,2
I300,57,4,45 i više,29,5
