godina,dobna_skupina,tip_putovanja,destinacija,trajanje,putovanja,nocenja,izdaci_eur,izdaci_hrk
2024,30 - 49,Privatno,Ukupno,4 i više noćenja,987062,8179571,658557363,-
2024,30 - 49,Privatno,Inozemstvo,1 i više noćenja,781647,3454735,429540721,-
2024,30 - 49,Privatno,Inozemstvo,1 - 3 noćenja,451436,991276,145062546,-
2024,30 - 49,Privatno,Inozemstvo,4 i više noćenja,330210,2463459,284478175,-
2024,30 - 49,Privatno,Hrvatska,1 i više noćenja,1529090,7480151,555372090,-
2024,30 - 49,Privatno,Hrvatska,1 - 3 noćenja,872238,1764039,181292902,-
2024,30 - 49,Privatno,Hrvatska,4 i više noćenja,656852,5716112,374079188,-
2024,30 - 49,Poslovno,Ukupno,1 i više noćenja,348042,1066760,226190109,-
2024,30 - 49,Poslovno,Ukupno,1 - 3 noćenja,268926,495302,123708384,-
2024,30 - 49,Poslovno,Ukupno,4 i više noćenja,79116,571459,102481724,-
2024,30 - 49,Poslovno,Inozemstvo,1 i više noćenja,165271,612358,137192706,-
2024,30 - 49,Poslovno,Inozemstvo,1 - 3 noćenja,114120,225681,64632242,-
2024,30 - 49,Poslovno,Inozemstvo,4 i više noćenja,51151,386677,72560464,-
2024,30 - 49,Poslovno,Hrvatska,1 i više noćenja,182772,454402,88997402,-
2024,30 - 49,Poslovno,Hrvatska,1 - 3 noćenja,154806,269621,59076142,-
2024,30 - 49,Poslovno,Hrvatska,4 i više noćenja,27966,184782,29921260,-
2024,50 i više,Privatno,Ukupno,1 i više noćenja,1893581,13268973,701720399,-
2024,50 i više,Privatno,Ukupno,1 - 3 noćenja,923968,1852324,206077034,-
2024,50 i više,Privatno,Ukupno,4 i više noćenja,969613,11416649,495643366,-
2024,50 i više,Privatno,Inozemstvo,1 i više noćenja,581517,3787254,280488805,-
2024,50 i više,Privatno,Inozemstvo,1 - 3 noćenja,292236,572224,88485420,-
2024,50 i više,Privatno,Inozemstvo,4 i više noćenja,289281,3215030,192003386,-
2024,50 i više,Privatno,Hrvatska,1 i više noćenja,1312064,9481719,421231594,-
2024,50 i više,Privatno,Hrvatska,1 - 3 noćenja,631731,1280100,117591614,-
2024,50 i više,Privatno,Hrvatska,4 i više noćenja,680333,8201619,303639980,-
2024,50 i više,Poslovno,Ukupno,1 i više noćenja,129164,404163,79847905,-
2024,50 i više,Poslovno,Ukupno,1 - 3 noćenja,99705,194934,52087441,-
2024,50 i više,Poslovno,Ukupno,4 i više noćenja,29458,209229,27760464,-
2024,50 i više,Poslovno,Inozemstvo,1 i više noćenja,51179,198802,49559532,-
2024,50 i više,Poslovno,Inozemstvo,1 - 3 noćenja,32828,74227,27723065,-
2024,50 i više,Poslovno,Inozemstvo,4 i više noćenja,18351,124574,21836468,-
2024,50 i više,Poslovno,Hrvatska,1 i više noćenja,77985,205362,30288373,-
2024,50 i više,Poslovno,Hrvatska,1 - 3 noćenja,66877,120707,24364376,-
2024,50 i više,Poslovno,Hrvatska,4 i više noćenja,11108,84655,5923997,-
