godina,mjesec_redni,mjesec,turist,dolasci,nocenja
2006,5,Svibanj,strani,559369,2211227
2006,6,Lipanj,ukupno,1249218,6600212
2006,6,Lipanj,domaći,160141,562692
2006,6,Lipanj,strani,1089077,6037520
2006,7,Srpanj,ukupno,2346016,15166492
2006,7,Srpanj,domaći,227765,1314865
2006,7,Srpanj,strani,2118251,13851627
2006,8,Kolovoz,ukupno,2359525,16541143
2006,8,Kolovoz,domaći,210107,1437662
2006,8,Kolovoz,strani,2149418,15103481
2006,9,Rujan,ukupno,1109035,5865947
2006,9,Rujan,domaći,133839,422809
2006,9,Rujan,strani,975196,5443138
2006,10,Listopad,ukupno,415109,1392887
2006,10,Listopad,domaći,118641,276807
2006,10,Listopad,strani,296468,1116080
2006,11,Studeni,ukupno,178390,433160
2006,11,Studeni,domaći,96199,217030
2006,11,Studeni,strani,82191,216130
2006,12,Prosinac,ukupno,155487,348826
2006,12,Prosinac,domaći,81094,176671
2006,12,Prosinac,strani,74393,172155
2007,1,Siječanj,ukupno,114102,304874
2007,1,Siječanj,domaći,69480,186583
2007,1,Siječanj,strani,44622,118291
2007,2,Veljača,ukupno,135183,321741
2007,2,Veljača,domaći,78788,185533
2007,2,Veljača,strani,56395,136208
2007,3,Ožujak,ukupno,215460,520373
2007,3,Ožujak,domaći,105136,243682
2007,3,Ožujak,strani,110324,276691
2007,4,Travanj,ukupno,551086,1615725
2007,4,Travanj,domaći,130212,319189
2007,4,Travanj,strani,420874,1296536
2007,5,Svibanj,ukupno,801601,2896494
2007,5,Svibanj,domaći,177495,441913
2007,5,Svibanj,strani,624106,2454581
2007,6,Lipanj,ukupno,1414448,6939131
2007,6,Lipanj,domaći,196393,669201
2007,6,Lipanj,strani,1218055,6269930
2007,7,Srpanj,ukupno,2425160,16179625
2007,7,Srpanj,domaći,253732,1545099
2007,7,Srpanj,strani,2171428,14634526
2007,8,Kolovoz,ukupno,2562541,17485055
2007,8,Kolovoz,domaći,233599,1498379
2007,8,Kolovoz,strani,2328942,15986676
2007,9,Rujan,ukupno,1123726,5898248
2007,9,Rujan,domaći,135568,437457
2007,9,Rujan,strani,988158,5460791
2007,10,Listopad,ukupno,435246,1386539
2007,10,Listopad,domaći,129170,306540
2007,10,Listopad,strani,306076,1079999
2007,11,Studeni,ukupno,198682,490017
2007,11,Studeni,domaći,102021,235896
2007,11,Studeni,strani,96661,254121
2007,12,Prosinac,ukupno,163635,378659
2007,12,Prosinac,domaći,84026,180029
2007,12,Prosinac,strani,79609,198630
2008,1,Siječanj,ukupno,126903,339383
2008,1,Siječanj,domaći,77418,206252
2008,1,Siječanj,strani,49485,133131
2008,2,Veljača,ukupno,152155,372616
2008,2,Veljača,domaći,84549,204705
2008,2,Veljača,strani,67606,167911
2008,3,Ožujak,ukupno,249245,677485
2008,3,Ožujak,domaći,102014,253538
2008,3,Ožujak,strani,147231,423947
2008,4,Travanj,ukupno,466328,1278800
2008,4,Travanj,domaći,129272,311144
2008,4,Travanj,strani,337056,967656
2008,5,Svibanj,ukupno,911803,3280984
2008,5,Svibanj,domaći,195212,505444
2008,5,Svibanj,strani,716591,2775540
2008,6,Lipanj,ukupno,1376041,6880446
2008,6,Lipanj,domaći,175971,608302
2008,6,Lipanj,strani,1200070,6272144
2008,7,Srpanj,ukupno,2447677,17195776
2008,7,Srpanj,domaći,254884,1581699
2008,7,Srpanj,strani,2192793,15614077
2008,8,Kolovoz,ukupno,2656458,17414347
2008,8,Kolovoz,domaći,232002,1487402
2008,8,Kolovoz,strani,2424456,15926945
2008,9,Rujan,ukupno,1061284,5780153
2008,9,Rujan,domaći,143729,453381
2008,9,Rujan,strani,917555,5326772
2008,10,Listopad,ukupno,453259,1424324
2008,10,Listopad,domaći,139119,325380
2008,10,Listopad,strani,314140,1098944
2008,11,Studeni,ukupno,187707,437008
2008,11,Studeni,domaći,99892,217634
2008,11,Studeni,strani,87815,219374
2008,12,Prosinac,ukupno,161299,384129
2008,12,Prosinac,domaći,80694,172062
2008,12,Prosinac,strani,80605,212067
2009,1,Siječanj,ukupno,125255,356663
2009,1,Siječanj,domaći,70145,192463
2009,1,Siječanj,strani,55110,164200
2009,2,Veljača,ukupno,139848,332293
2009,2,Veljača,domaći,80605,185387
2009,2,Veljača,strani,59243,146906
2009,3,Ožujak,ukupno,192222,473538
2009,3,Ožujak,domaći,93416,214725
2009,3,Ožujak,strani,98806,258813
2009,4,Travanj,ukupno,484002,1386224
2009,4,Travanj,domaći,118364,282649
2009,4,Travanj,strani,365638,1103575
2009,5,Svibanj,ukupno,834202,2852832
2009,5,Svibanj,domaći,162991,412086
2009,5,Svibanj,strani,671211,2440746
2009,6,Lipanj,ukupno,1308012,6830513
2009,6,Lipanj,domaći,169199,623973
2009,6,Lipanj,strani,1138813,6206540
2009,7,Srpanj,ukupno,2425665,16458003
2009,7,Srpanj,domaći,225045,1360862
2009,7,Srpanj,strani,2200620,15097141
2009,8,Kolovoz,ukupno,2787596,18140079
2009,8,Kolovoz,domaći,219492,1401609
2009,8,Kolovoz,strani,2568104,16738470
2009,9,Rujan,ukupno,1045330,5868926
2009,9,Rujan,domaći,121871,415763
2009,9,Rujan,strani,923459,5453163
2009,10,Listopad,ukupno,419214,1357667
2009,10,Listopad,domaći,114139,279013
2009,10,Listopad,strani,305075,1078654
2009,11,Studeni,ukupno,172574,416253
2009,11,Studeni,domaći,84817,195312
2009,11,Studeni,strani,87757,220941
2009,12,Prosinac,ukupno,141232,320103
2009,12,Prosinac,domaći,69589,148061
2009,12,Prosinac,strani,71643,172042
2010,1,Siječanj,ukupno,102382,298538
2010,1,Siječanj,domaći,60616,173724
2010,1,Siječanj,strani,41766,124814
2010,2,Veljača,ukupno,121971,289147
2010,2,Veljača,domaći,65780,153401
2010,2,Veljača,strani,56191,135746
2010,3,Ožujak,ukupno,206684,536414
2010,3,Ožujak,domaći,84421,192602
2010,3,Ožujak,strani,122263,343812
2010,4,Travanj,ukupno,458483,1312601
2010,4,Travanj,domaći,108231,261402
2010,4,Travanj,strani,350252,1051199
2010,5,Svibanj,ukupno,831703,2963734
2010,5,Svibanj,domaći,151430,375348
2010,5,Svibanj,strani,680273,2588386
2010,6,Lipanj,ukupno,1301827,6401050
2010,6,Lipanj,domaći,157744,560337
2010,6,Lipanj,strani,1144083,5840713
2010,7,Srpanj,ukupno,2716050,17322131
2010,7,Srpanj,domaći,220168,1291893
2010,7,Srpanj,strani,2495882,16030238
2010,8,Kolovoz,ukupno,2809468,18955791
2010,8,Kolovoz,domaći,206280,1373316
2010,8,Kolovoz,strani,2603188,17582475
2010,9,Rujan,ukupno,1095197,6032117
2010,9,Rujan,domaći,120842,405915
2010,9,Rujan,strani,974355,5626202
2010,10,Listopad,ukupno,439816,1358588
2010,10,Listopad,domaći,110582,256429
2010,10,Listopad,strani,329234,1102159
2010,11,Studeni,ukupno,179918,424073
2010,11,Studeni,domaći,82981,177109
2010,11,Studeni,strani,96937,246964
2010,12,Prosinac,ukupno,141692,323270
2010,12,Prosinac,domaći,68948,147231
2010,12,Prosinac,strani,72744,176039
2011,1,Siječanj,ukupno,103395,270089
2011,1,Siječanj,domaći,56923,148071
2011,1,Siječanj,strani,46472,122018
2011,2,Veljača,ukupno,127222,290261
2011,2,Veljača,domaći,65448,148783
2011,2,Veljača,strani,61774,141478
2011,3,Ožujak,ukupno,193643,457649
2011,3,Ožujak,domaći,83900,191906
2011,3,Ožujak,strani,109743,265743
2011,4,Travanj,ukupno,559900,1642793
2011,4,Travanj,domaći,111775,276537
2011,4,Travanj,strani,448125,1366256
2011,5,Svibanj,ukupno,774256,2597937
2011,5,Svibanj,domaći,160071,400320
2011,5,Svibanj,strani,614185,2197617
2011,6,Lipanj,ukupno,1567682,7764602
2011,6,Lipanj,domaći,175392,627522
2011,6,Lipanj,strani,1392290,7137080
2011,7,Srpanj,ukupno,2852568,17773156
2011,7,Srpanj,domaći,221797,1306019
2011,7,Srpanj,strani,2630771,16467137
2011,8,Kolovoz,ukupno,2929119,20171760
2011,8,Kolovoz,domaći,214190,1406965
2011,8,Kolovoz,strani,2714929,18764795
2011,9,Rujan,ukupno,1284704,6817232
2011,9,Rujan,domaći,131498,441270
2011,9,Rujan,strani,1153206,6375962
2011,10,Listopad,ukupno,485372,1530984
2011,10,Listopad,domaći,111583,269904
2011,10,Listopad,strani,373789,1261080
2011,11,Studeni,ukupno,184399,449190
2011,11,Studeni,domaći,84517,190797
2011,11,Studeni,strani,99882,258393
2011,12,Prosinac,ukupno,148773,343978
2011,12,Prosinac,domaći,71091,154058
2011,12,Prosinac,strani,77682,189920
2012,1,Siječanj,ukupno,113959,304656
2012,1,Siječanj,domaći,59979,166291
2012,1,Siječanj,strani,53980,138365
2012,2,Veljača,ukupno,113404,280622
2012,2,Veljača,domaći,55188,140976
2012,2,Veljača,strani,58216,139646
2012,3,Ožujak,ukupno,225606,552898
2012,3,Ožujak,domaći,86340,204814
2012,3,Ožujak,strani,139266,348084
2012,4,Travanj,ukupno,559710,1616409
2012,4,Travanj,domaći,106871,264539
2012,4,Travanj,strani,452839,1351870
2012,5,Svibanj,ukupno,905361,3229611
2012,5,Svibanj,domaći,156661,384370
2012,5,Svibanj,strani,748700,2845241
2012,6,Lipanj,ukupno,1566607,7569474
2012,6,Lipanj,domaći,163937,565916
2012,6,Lipanj,strani,1402670,7003558
2012,7,Srpanj,ukupno,2846525,18419887
2012,7,Srpanj,domaći,202160,1142692
2012,7,Srpanj,strani,2644365,17277195
2012,8,Kolovoz,ukupno,2994425,20638569
2012,8,Kolovoz,domaći,204426,1319431
2012,8,Kolovoz,strani,2789999,19319138
2012,9,Rujan,ukupno,1419719,7430814
2012,9,Rujan,domaći,125954,402585
2012,9,Rujan,strani,1293765,7028229
2012,10,Listopad,ukupno,519953,1664821
2012,10,Listopad,domaći,112582,261004
2012,10,Listopad,strani,407371,1403817
2012,11,Studeni,ukupno,186756,455600
2012,11,Studeni,domaći,79690,178340
2012,11,Studeni,strani,107066,277260
2012,12,Prosinac,ukupno,146968,343935
2012,12,Prosinac,domaći,65310,143532
2012,12,Prosinac,strani,81658,200403
2013,1,Siječanj,ukupno,102214,271880
2013,1,Siječanj,domaći,54753,142106
2013,1,Siječanj,strani,47461,129774
2013,2,Veljača,ukupno,130992,307241
2013,2,Veljača,domaći,64619,148595
2013,2,Veljača,strani,66373,158646
2013,3,Ožujak,ukupno,254959,674864
2013,3,Ožujak,domaći,85521,208155
2013,3,Ožujak,strani,169438,466709
2013,4,Travanj,ukupno,537696,1454248
2013,4,Travanj,domaći,107314,252453
2013,4,Travanj,strani,430382,1201795
2013,5,Svibanj,ukupno,1023563,3805685
2013,5,Svibanj,domaći,146622,369963
2013,5,Svibanj,strani,876941,3435722
2013,6,Lipanj,ukupno,1635895,7693666
2013,6,Lipanj,domaći,164100,545813
2013,6,Lipanj,strani,1471795,7147853
2013,7,Srpanj,ukupno,2883024,18759119
2013,7,Srpanj,domaći,202799,1099427
2013,7,Srpanj,strani,2680225,17659692
2013,8,Kolovoz,ukupno,3294845,21325074
2013,8,Kolovoz,domaći,215582,1297042
2013,8,Kolovoz,strani,3079263,20028032
2013,9,Rujan,ukupno,1426123,7655375
2013,9,Rujan,domaći,125320,406749
2013,9,Rujan,strani,1300803,7248626
2013,10,Listopad,ukupno,574212,1784526
2013,10,Listopad,domaći,116667,275676
2013,10,Listopad,strani,457545,1508850
2013,11,Studeni,ukupno,204492,503623
2013,11,Studeni,domaći,86852,196164
2013,11,Studeni,strani,117640,307459
2013,12,Prosinac,ukupno,164946,382048
2013,12,Prosinac,domaći,71549,152679
2013,12,Prosinac,strani,93397,229369
2014,1,Siječanj,ukupno,119249,306934
2014,1,Siječanj,domaći,61240,158702
2014,1,Siječanj,strani,58009,148232
2014,2,Veljača,ukupno,139644,316157
2014,2,Veljača,domaći,64497,149503
2014,2,Veljača,strani,75147,166654
2014,3,Ožujak,ukupno,234386,548274
2014,3,Ožujak,domaći,83339,193237
2014,3,Ožujak,strani,151047,355037
2014,4,Travanj,ukupno,627803,1723269
2014,4,Travanj,domaći,115217,270968
2014,4,Travanj,strani,512586,1452301
2014,5,Svibanj,ukupno,1025133,3304877
2014,5,Svibanj,domaći,155601,398273
2014,5,Svibanj,strani,869532,2906604
2014,6,Lipanj,ukupno,1808288,8684288
2014,6,Lipanj,domaći,156523,533749
2014,6,Lipanj,strani,1651765,8150539
2014,7,Srpanj,ukupno,2916656,18372842
2014,7,Srpanj,domaći,195853,1067738
2014,7,Srpanj,strani,2720803,17305104
2014,8,Kolovoz,ukupno,3556657,22442147
2014,8,Kolovoz,domaći,226253,1329846
2014,8,Kolovoz,strani,3330404,21112301
2014,9,Rujan,ukupno,1437732,7810017
2014,9,Rujan,domaći,125260,399348
2014,9,Rujan,strani,1312472,7410669
2014,10,Listopad,ukupno,641239,1858652
2014,10,Listopad,domaći,115167,264660
2014,10,Listopad,strani,526072,1593992
2014,11,Studeni,ukupno,218792,482802
2014,11,Studeni,domaći,88308,193429
2014,11,Studeni,strani,130484,289373
2014,12,Prosinac,ukupno,188820,419672
2014,12,Prosinac,domaći,74232,156958
2014,12,Prosinac,strani,114588,262714
2015,1,Siječanj,ukupno,138329,357519
2015,1,Siječanj,domaći,63055,171458
2015,1,Siječanj,strani,75274,186061
2015,2,Veljača,ukupno,160160,364706
2015,2,Veljača,domaći,68720,160523
2015,2,Veljača,strani,91440,204183
2015,3,Ožujak,ukupno,281227,671519
2015,3,Ožujak,domaći,91381,216973
2015,3,Ožujak,strani,189846,454546
2015,4,Travanj,ukupno,651622,1738719
2015,4,Travanj,domaći,119791,282337
2015,4,Travanj,strani,531831,1456382
2015,5,Svibanj,ukupno,1182174,3969367
2015,5,Svibanj,domaći,161943,413025
2015,5,Svibanj,strani,1020231,3556342
2015,6,Lipanj,ukupno,1889597,8724567
2015,6,Lipanj,domaći,184619,641294
2015,6,Lipanj,strani,1704978,8083273
2015,7,Srpanj,ukupno,3299541,20344391
2015,7,Srpanj,domaći,227270,1229227
2015,7,Srpanj,strani,3072271,19115164
2015,8,Kolovoz,ukupno,3821269,23684987
2015,8,Kolovoz,domaći,243800,1445476
2015,8,Kolovoz,strani,3577469,22239511
2015,9,Rujan,ukupno,1620777,8649319
2015,9,Rujan,domaći,134735,441709
2015,9,Rujan,strani,1486042,8207610
2015,10,Listopad,ukupno,668941,1954525
2015,10,Listopad,domaći,135444,309854
2015,10,Listopad,strani,533497,1644671
2015,11,Studeni,ukupno,236628,508058
2015,11,Studeni,domaći,98686,211839
2015,11,Studeni,strani,137942,296219
2015,12,Prosinac,ukupno,225219,469799
2015,12,Prosinac,domaći,93072,181292
2015,12,Prosinac,strani,132147,288507
2016,1,Siječanj,ukupno,151079,390235
2016,1,Siječanj,domaći,68959,183421
2016,1,Siječanj,strani,82120,206814
2016,2,Veljača,ukupno,190251,422154
2016,2,Veljača,domaći,75883,167631
2016,2,Veljača,strani,114368,254523
2016,3,Ožujak,ukupno,340686,841919
2016,3,Ožujak,domaći,96394,222975
2016,3,Ožujak,strani,244292,618944
2016,4,Travanj,ukupno,645991,1669017
2016,4,Travanj,domaći,132452,283551
2016,4,Travanj,strani,513539,1385466
2016,5,Svibanj,ukupno,1207232,4259190
2016,5,Svibanj,domaći,170834,414052
2016,5,Svibanj,strani,1036398,3845138
2016,6,Lipanj,ukupno,1893488,8945044
2016,6,Lipanj,domaći,179216,597977
2016,6,Lipanj,strani,1714272,8347067
2016,7,Srpanj,ukupno,3889172,22827585
2016,7,Srpanj,domaći,247507,1251674
2016,7,Srpanj,strani,3641665,21575911
2016,8,Kolovoz,ukupno,3962306,25450558
2016,8,Kolovoz,domaći,255191,1489816
2016,8,Kolovoz,strani,3707115,23960742
2016,9,Rujan,ukupno,1862611,9650476
2016,9,Rujan,domaći,161235,467591
2016,9,Rujan,strani,1701376,9182885
2016,10,Listopad,ukupno,756412,2264711
2016,10,Listopad,domaći,143849,311596
2016,10,Listopad,strani,612563,1953115
2016,11,Studeni,ukupno,282229,608033
2016,11,Studeni,domaći,106629,216165
2016,11,Studeni,strani,175600,391868
2016,12,Prosinac,ukupno,281703,589933
2016,12,Prosinac,domaći,110441,213016
2016,12,Prosinac,strani,171262,376917
2017,1,Siječanj,ukupno,177401,441472
2017,1,Siječanj,domaći,76040,184605
2017,1,Siječanj,strani,101361,256867
2017,2,Veljača,ukupno,209536,470265
2017,2,Veljača,domaći,84378,181199
2017,2,Veljača,strani,125158,289066
2017,3,Ožujak,ukupno,342540,750336
2017,3,Ožujak,domaći,110553,227485
2017,3,Ožujak,strani,231987,522851
2017,4,Travanj,ukupno,915770,2550428
2017,4,Travanj,domaći,146113,339955
2017,4,Travanj,strani,769657,2210473
2017,5,Svibanj,ukupno,1256710,4115822
2017,5,Svibanj,domaći,179948,407378
2017,5,Svibanj,strani,1076762,3708444
2017,6,Lipanj,ukupno,2526241,12030104
2017,6,Lipanj,domaći,207001,682901
2017,6,Lipanj,strani,2319240,11347203
2017,7,Srpanj,ukupno,4346419,25291870
2017,7,Srpanj,domaći,257617,1277395
2017,7,Srpanj,strani,4088802,24014475
2017,8,Kolovoz,ukupno,4205544,26826651
2017,8,Kolovoz,domaći,252217,1494177
2017,8,Kolovoz,strani,3953327,25332474
2017,9,Rujan,ukupno,1978713,9899830
2017,9,Rujan,domaći,151809,437299
2017,9,Rujan,strani,1826904,9462531
2017,10,Listopad,ukupno,850333,2515570
2017,10,Listopad,domaći,143270,302423
2017,10,Listopad,strani,707063,2213147
2017,11,Studeni,ukupno,307824,662801
2017,11,Studeni,domaći,112520,225200
2017,11,Studeni,strani,195304,437601
2017,12,Prosinac,ukupno,313549,645112
2017,12,Prosinac,domaći,116215,218247
2017,12,Prosinac,strani,197334,426865
2018,1,Siječanj,ukupno,210581,532075
2018,1,Siječanj,domaći,87973,210483
2018,1,Siječanj,strani,122608,321592
2018,2,Veljača,ukupno,219167,485251
2018,2,Veljača,domaći,82011,175415
2018,2,Veljača,strani,137156,309836
2018,3,Ožujak,ukupno,440270,1014777
2018,3,Ožujak,domaći,118715,243931
2018,3,Ožujak,strani,321555,770846
2018,4,Travanj,ukupno,950572,2513405
2018,4,Travanj,domaći,167231,374298
2018,4,Travanj,strani,783341,2139107
2018,5,Svibanj,ukupno,1642545,5759614
2018,5,Svibanj,domaći,199562,441401
2018,5,Svibanj,strani,1442983,5318213
2018,6,Lipanj,ukupno,2627838,11850435
2018,6,Lipanj,domaći,233898,780956
2018,6,Lipanj,strani,2393940,11069479
2018,7,Srpanj,ukupno,4330377,25918243
2018,7,Srpanj,domaći,262573,1315784
2018,7,Srpanj,strani,4067804,24602459
2018,8,Kolovoz,ukupno,4369121,27050659
2018,8,Kolovoz,domaći,283678,1619579
2018,8,Kolovoz,strani,4085443,25431080
2018,9,Rujan,ukupno,2190867,10186069
2018,9,Rujan,domaći,170058,477464
2018,9,Rujan,strani,2020809,9708605
2018,10,Listopad,ukupno,963470,2826494
2018,10,Listopad,domaći,165808,343876
2018,10,Listopad,strani,797662,2482618
2018,11,Studeni,ukupno,372356,781182
2018,11,Studeni,domaći,127496,255843
2018,11,Studeni,strani,244860,525339
2018,12,Prosinac,ukupno,349416,733585
2018,12,Prosinac,domaći,122706,237616
2018,12,Prosinac,strani,226710,495969
2019,1,Siječanj,ukupno,207643,504434
2019,1,Siječanj,domaći,87799,208406
2019,1,Siječanj,strani,119844,296028
2019,2,Veljača,ukupno,264484,549613
2019,2,Veljača,domaći,94031,192967
2019,2,Veljača,strani,170453,356646
2019,3,Ožujak,ukupno,449620,943716
2019,3,Ožujak,domaći,131038,270716
2019,3,Ožujak,strani,318582,673000
2019,4,Travanj,ukupno,1105999,2975446
2019,4,Travanj,domaći,172287,392613
2019,4,Travanj,strani,933712,2582833
2019,5,Svibanj,ukupno,1569271,4916614
2019,5,Svibanj,domaći,215281,485808
2019,5,Svibanj,strani,1353990,4430806
2019,6,Lipanj,ukupno,2921391,13016832
2019,6,Lipanj,domaći,248468,811442
2019,6,Lipanj,strani,2672923,12205390
2019,7,Srpanj,ukupno,4325686,25522680
2019,7,Srpanj,domaći,292280,1449132
2019,7,Srpanj,strani,4033406,24073548
2019,8,Kolovoz,ukupno,4712039,27771360
2019,8,Kolovoz,domaći,346667,1866598
2019,8,Kolovoz,strani,4365372,25904762
2019,9,Rujan,ukupno,2170611,10365761
2019,9,Rujan,domaći,175665,504762
2019,9,Rujan,strani,1994946,9860999
2019,10,Listopad,ukupno,1076316,3080470
2019,10,Listopad,domaći,181650,386430
2019,10,Listopad,strani,894666,2694040
2019,11,Studeni,ukupno,390886,819266
2019,11,Studeni,domaći,134718,271646
2019,11,Studeni,strani,256168,547620
2019,12,Prosinac,ukupno,372200,776739
2019,12,Prosinac,domaći,132774,254780
2019,12,Prosinac,strani,239426,521959
2020,1,Siječanj,ukupno,219733,544760
2020,1,Siječanj,domaći,97195,223590
2020,1,Siječanj,strani,122538,321170
2020,2,Veljača,ukupno,278741,610491
2020,2,Veljača,domaći,106731,214816
2020,2,Veljača,strani,172010,395675
2020,3,Ožujak,ukupno,104391,289621
2020,3,Ožujak,domaći,43261,105928
2020,3,Ožujak,strani,61130,183693
2020,4,Travanj,ukupno,2241,34063
2020,4,Travanj,domaći,1483,8062
2020,4,Travanj,strani,758,26001
2020,5,Svibanj,ukupno,62049,166975
2020,5,Svibanj,domaći,30501,65803
2020,5,Svibanj,strani,31548,101172
2020,6,Lipanj,ukupno,797696,3588684
2020,6,Lipanj,domaći,156180,456937
2020,6,Lipanj,strani,641516,3131747
2020,7,Srpanj,ukupno,2245831,14666043
2020,7,Srpanj,domaći,277404,1324271
2020,7,Srpanj,strani,1968427,13341772
2020,8,Kolovoz,ukupno,2467957,16697261
2020,8,Kolovoz,domaći,412158,2171352
2020,8,Kolovoz,strani,2055799,14525909
2020,9,Rujan,ukupno,488212,3126065
2020,9,Rujan,domaći,133333,409387
2020,9,Rujan,strani,354879,2716678
2020,10,Listopad,ukupno,184593,617927
2020,10,Listopad,domaći,95791,211064
2020,10,Listopad,strani,88802,406863
2020,11,Studeni,ukupno,87224,268598
2020,11,Studeni,domaći,55042,122388
2020,11,Studeni,strani,32182,146210
2020,12,Prosinac,ukupno,62460,183967
2020,12,Prosinac,domaći,46770,101793
2020,12,Prosinac,strani,15690,82174
2021,1,Siječanj,ukupno,87634,249008
2021,1,Siječanj,domaći,71235,173395
2021,1,Siječanj,strani,16399,75613
2021,2,Veljača,ukupno,104074,245157
2021,2,Veljača,domaći,83717,166224
2021,2,Veljača,strani,20357,78933
2021,3,Ožujak,ukupno,132625,359614
2021,3,Ožujak,domaći,87978,184123
2021,3,Ožujak,strani,44647,175491
2021,4,Travanj,ukupno,219621,668067
2021,4,Travanj,domaći,121258,272392
2021,4,Travanj,strani,98363,395675
2021,5,Svibanj,ukupno,407230,1501764
2021,5,Svibanj,domaći,132310,308239
2021,5,Svibanj,strani,274920,1193525
2021,6,Lipanj,ukupno,1370500,6517534
2021,6,Lipanj,domaći,275211,854363
2021,6,Lipanj,strani,1095289,5663171
2021,7,Srpanj,ukupno,3532751,20956215
2021,7,Srpanj,domaći,367727,1731519
2021,7,Srpanj,strani,3165024,19224696
2021,8,Kolovoz,ukupno,4067300,26198107
2021,8,Kolovoz,domaći,395740,2236043
2021,8,Kolovoz,strani,3671560,23962064
2021,9,Rujan,ukupno,1760678,10190746
2021,9,Rujan,domaći,194798,586219
2021,9,Rujan,strani,1565880,9604527
2021,10,Listopad,ukupno,636814,2185746
2021,10,Listopad,domaći,174813,375705
2021,10,Listopad,strani,462001,1810041
2021,11,Studeni,ukupno,220572,576070
2021,11,Studeni,domaći,112805,238674
2021,11,Studeni,strani,107767,337396
2021,12,Prosinac,ukupno,235995,553931
2021,12,Prosinac,domaći,117393,227236
2021,12,Prosinac,strani,118602,326695
2022,1,Siječanj,ukupno,172868,505304
2022,1,Siječanj,domaći,99362,245189
2022,1,Siječanj,strani,73506,260115
2022,2,Veljača,ukupno,225511,569927
2022,2,Veljača,domaći,109806,235526
2022,2,Veljača,strani,115705,334401
2022,3,Ožujak,ukupno,314954,812169
2022,3,Ožujak,domaći,123788,253792
2022,3,Ožujak,strani,191166,558377
2022,4,Travanj,ukupno,832685,2525348
2022,4,Travanj,domaći,190769,428133
2022,4,Travanj,strani,641916,2097215
2022,5,Svibanj,ukupno,1231194,4263842
2022,5,Svibanj,domaći,254882,563053
2022,5,Svibanj,strani,976312,3700789
2022,6,Lipanj,ukupno,2658688,13070561
2022,6,Lipanj,domaći,289528,904160
2022,6,Lipanj,strani,2369160,12166401
2022,7,Srpanj,ukupno,4341204,25263854
2022,7,Srpanj,domaći,335216,1578055
2022,7,Srpanj,strani,4005988,23685799
2022,8,Kolovoz,ukupno,4378820,27528229
2022,8,Kolovoz,domaći,366067,1998590
2022,8,Kolovoz,strani,4012753,25529639
2022,9,Rujan,ukupno,2073422,11132132
2022,9,Rujan,domaći,206019,600884
2022,9,Rujan,strani,1867403,10531248
2022,10,Listopad,ukupno,891951,2827514
2022,10,Listopad,domaći,200605,420757
2022,10,Listopad,strani,691346,2406757
2022,11,Studeni,ukupno,324185,801194
2022,11,Studeni,domaći,139989,274760
2022,11,Studeni,strani,184196,526434
2022,12,Prosinac,ukupno,329476,740103
2022,12,Prosinac,domaći,135178,249766
2022,12,Prosinac,strani,194298,490337
2023,1,Siječanj,ukupno,228812,601677
2023,1,Siječanj,domaći,114227,252929
2023,1,Siječanj,strani,114585,348748
2023,2,Veljača,ukupno,272499,651330
2023,2,Veljača,domaći,129235,261765
2023,2,Veljača,strani,143264,389565
