osoba,dob,spol,obrazovanje_sifra,obrazovanje,izvor_vijesti_sifra,izvor_vijesti,povjerenje_medijima,minute_medija,spremnost_platiti
143,49,ženski,4,diplomska,1,portal,6,197,0
144,34,ženski,2,srednja,1,portal,5,260,0
145,39,ženski,2,srednja,1,portal,4,103,39
146,22,ženski,4,diplomska,3,TV,4,117,0
147,29,muški,4,diplomska,2,društvene mreže,4,177,0
148,80,muški,3,viša,3,TV,6,138,124
149,37,ženski,1,osnovna,3,TV,3,177,0
150,20,muški,4,diplomska,2,društvene mreže,6,71,0
151,59,muški,2,srednja,4,radio,5,160,0
152,38,muški,2,srednja,5,tisak,5,142,0
153,35,muški,3,viša,4,radio,5,291,0
154,45,ženski,2,srednja,1,portal,3,196,17
155,31,ženski,2,srednja,2,društvene mreže,2,148,0
156,50,ženski,2,srednja,5,tisak,8,90,0
157,47,muški,2,srednja,4,radio,4,108,0
158,53,ženski,2,srednja,5,tisak,3,191,0
159,67,muški,2,srednja,5,tisak,3,204,46
160,47,ženski,3,viša,2,društvene mreže,3,185,0
161,42,muški,2,srednja,2,društvene mreže,4,205,0
162,28,ženski,2,srednja,1,portal,3,305,0
163,31,ženski,2,srednja,2,društvene mreže,3,151,0
164,43,muški,3,viša,2,društvene mreže,2,145,0
165,50,ženski,2,srednja,2,društvene mreže,2,175,0
166,58,ženski,3,viša,1,portal,5,180,12
167,21,ženski,2,srednja,2,društvene mreže,4,107,0
168,59,muški,3,viša,4,radio,6,201,17
169,64,ženski,2,srednja,4,radio,9,108,0
170,38,ženski,2,srednja,5,tisak,6,202,0
171,62,muški,2,srednja,3,TV,6,129,0
172,78,ženski,1,osnovna,2,društvene mreže,2,374,29
173,57,ženski,2,srednja,1,portal,5,178,0
174,40,muški,2,srednja,3,TV,4,190,0
175,55,ženski,4,diplomska,5,tisak,5,241,43
176,52,ženski,2,srednja,4,radio,3,145,0
177,27,muški,2,srednja,2,društvene mreže,4,71,0
178,64,ženski,2,srednja,3,TV,6,248,0
179,40,muški,2,srednja,2,društvene mreže,5,140,55
180,30,ženski,2,srednja,1,portal,6,214,0
181,30,muški,2,srednja,2,društvene mreže,1,182,0
182,40,ženski,2,srednja,4,radio,5,226,0
183,36,ženski,2,srednja,2,društvene mreže,6,242,17
184,32,ženski,2,srednja,2,društvene mreže,4,173,0
185,30,ženski,1,osnovna,1,portal,4,128,0
186,45,ženski,2,srednja,1,portal,2,154,11
187,75,ženski,2,srednja,5,tisak,7,81,0
188,43,ženski,2,srednja,3,TV,7,181,0
189,78,ženski,3,viša,4,radio,9,223,18
190,25,muški,2,srednja,3,TV,7,138,85
191,32,ženski,2,srednja,2,društvene mreže,5,131,0
192,24,ženski,4,diplomska,2,društvene mreže,4,212,11
193,77,muški,2,srednja,4,radio,7,213,0
194,32,muški,1,osnovna,1,portal,5,149,0
195,19,muški,2,srednja,2,društvene mreže,2,150,0
196,75,muški,4,diplomska,5,tisak,3,424,34
197,39,muški,2,srednja,1,portal,1,236,0
198,26,ženski,2,srednja,2,društvene mreže,3,140,0
199,22,muški,2,srednja,2,društvene mreže,5,361,7
200,73,muški,3,viša,1,portal,4,131,0
201,21,ženski,2,srednja,2,društvene mreže,2,124,0
202,34,ženski,3,viša,2,društvene mreže,5,102,0
203,35,ženski,2,srednja,3,TV,2,128,0
204,45,muški,1,osnovna,3,TV,4,155,0
205,32,ženski,2,srednja,2,društvene mreže,2,159,0
206,42,ženski,3,viša,2,društvene mreže,2,126,0
207,35,muški,2,srednja,1,portal,5,98,0
208,29,muški,2,srednja,3,TV,4,243,0
209,24,muški,1,osnovna,1,portal,6,111,4
210,52,ženski,2,srednja,3,TV,5,135,0
211,29,muški,1,osnovna,2,društvene mreže,4,251,0
212,22,muški,2,srednja,2,društvene mreže,2,186,0
213,80,ženski,3,viša,3,TV,9,109,23
214,33,ženski,4,diplomska,1,portal,7,163,0
215,24,ženski,3,viša,5,tisak,3,93,0
216,52,ženski,3,viša,3,TV,5,153,0
217,25,muški,3,viša,2,društvene mreže,3,181,27
218,50,muški,2,srednja,4,radio,6,241,10
219,30,ženski,2,srednja,2,društvene mreže,3,196,0
220,34,muški,1,osnovna,2,društvene mreže,4,109,0
221,57,ženski,2,srednja,4,radio,6,90,0
222,49,ženski,4,diplomska,1,portal,4,74,0
223,31,muški,2,srednja,2,društvene mreže,6,119,0
224,51,muški,2,srednja,3,TV,6,137,0
225,35,ženski,1,osnovna,5,tisak,5,282,0
226,38,muški,3,viša,4,radio,5,167,7
227,32,muški,2,srednja,4,radio,2,88,32
228,31,ženski,2,srednja,1,portal,6,185,0
229,23,ženski,3,viša,1,portal,6,183,0
230,48,ženski,3,viša,3,TV,4,270,0
231,45,ženski,2,srednja,1,portal,3,133,0
232,21,ženski,2,srednja,1,portal,8,103,94
233,39,ženski,2,srednja,3,TV,5,137,0
234,28,ženski,2,srednja,1,portal,4,152,0
235,56,muški,1,osnovna,1,portal,8,230,0
236,69,ženski,3,viša,4,radio,6,189,0
237,76,ženski,3,viša,4,radio,8,227,0
238,80,muški,2,srednja,3,TV,4,165,0
239,80,muški,4,diplomska,3,TV,7,230,25
240,23,ženski,3,viša,1,portal,5,196,24
241,33,muški,2,srednja,1,portal,5,223,28
242,31,ženski,2,srednja,2,društvene mreže,4,156,0
243,29,muški,3,viša,4,radio,7,86,0
244,56,muški,3,viša,5,tisak,6,230,0
245,57,muški,3,viša,1,portal,9,110,36
246,39,ženski,2,srednja,1,portal,4,89,24
247,31,muški,2,srednja,2,društvene mreže,6,168,0
248,32,ženski,2,srednja,2,društvene mreže,4,316,0
249,41,ženski,2,srednja,5,tisak,7,147,0
250,38,muški,3,viša,3,TV,4,152,0
251,34,ženski,2,srednja,2,društvene mreže,5,77,0
252,31,ženski,4,diplomska,2,društvene mreže,5,106,0
253,37,muški,1,osnovna,1,portal,8,119,23
254,43,muški,2,srednja,1,portal,5,140,0
255,31,ženski,2,srednja,2,društvene mreže,4,110,0
256,58,muški,3,viša,3,TV,5,180,0
257,24,ženski,1,osnovna,2,društvene mreže,2,190,0
258,49,muški,2,srednja,3,TV,4,107,0
259,39,ženski,1,osnovna,2,društvene mreže,4,225,0
260,32,ženski,2,srednja,2,društvene mreže,6,58,30
261,31,ženski,2,srednja,3,TV,2,81,18
262,26,muški,2,srednja,1,portal,8,216,0
263,46,muški,2,srednja,3,TV,6,137,0
264,29,ženski,2,srednja,4,radio,4,138,29
265,28,muški,2,srednja,2,društvene mreže,6,217,0
266,63,muški,2,srednja,1,portal,10,270,36
267,62,muški,3,viša,4,radio,8,181,54
268,77,ženski,2,srednja,4,radio,7,282,0
269,68,muški,2,srednja,1,portal,2,174,0
270,80,ženski,3,viša,5,tisak,7,227,8
271,47,muški,3,viša,3,TV,6,260,0
272,22,muški,4,diplomska,1,portal,6,165,25
273,40,muški,1,osnovna,1,portal,4,216,0
274,19,ženski,1,osnovna,2,društvene mreže,3,265,0
275,61,muški,2,srednja,1,portal,5,148,0
276,58,ženski,4,diplomska,1,portal,6,222,88
277,35,ženski,3,viša,2,društvene mreže,4,185,0
278,36,muški,3,viša,2,društvene mreže,5,175,25
279,28,muški,1,osnovna,2,društvene mreže,3,139,0
280,35,ženski,1,osnovna,2,društvene mreže,5,273,17
281,20,ženski,2,srednja,2,društvene mreže,1,216,0
282,35,ženski,2,srednja,2,društvene mreže,6,194,0
283,30,muški,1,osnovna,3,TV,3,132,62
284,26,muški,2,srednja,2,društvene mreže,1,244,0
285,31,muški,4,diplomska,5,tisak,7,209,0
286,47,muški,2,srednja,4,radio,8,239,11
287,34,muški,2,srednja,1,portal,3,131,0
288,80,ženski,3,viša,5,tisak,8,131,16
289,43,muški,2,srednja,1,portal,4,214,0
290,44,ženski,1,osnovna,5,tisak,6,297,0
291,34,ženski,3,viša,1,portal,6,244,0
292,37,muški,3,viša,2,društvene mreže,1,186,0
293,51,ženski,4,diplomska,3,TV,6,205,0
294,59,muški,2,srednja,3,TV,7,141,0
295,42,muški,3,viša,1,portal,6,201,0
296,18,muški,2,srednja,2,društvene mreže,1,180,0
297,24,ženski,2,srednja,2,društvene mreže,4,215,0
298,30,muški,2,srednja,5,tisak,4,131,0
299,21,muški,3,viša,2,društvene mreže,3,102,0
300,33,ženski,2,srednja,3,TV,5,114,0
301,27,muški,2,srednja,2,društvene mreže,1,109,22
302,31,muški,3,viša,1,portal,8,187,0
303,43,muški,1,osnovna,4,radio,8,128,24
304,24,muški,3,viša,1,portal,4,187,14
305,37,muški,4,diplomska,4,radio,6,90,26
306,58,ženski,4,diplomska,4,radio,10,207,0
307,62,muški,3,viša,1,portal,6,92,0
308,80,ženski,2,srednja,3,TV,8,99,0
309,70,muški,4,diplomska,1,portal,5,274,19
310,80,ženski,2,srednja,1,portal,4,216,0
311,29,muški,2,srednja,5,tisak,3,169,17
312,45,muški,3,viša,5,tisak,5,236,0
313,39,ženski,1,osnovna,4,radio,5,113,33
314,62,ženski,2,srednja,1,portal,5,246,0
315,23,ženski,3,viša,2,društvene mreže,3,193,22
316,41,muški,2,srednja,1,portal,10,115,14
317,34,ženski,2,srednja,2,društvene mreže,1,258,0
318,71,muški,1,osnovna,3,TV,5,105,0
319,29,muški,2,srednja,2,društvene mreže,5,117,0
320,52,ženski,1,osnovna,2,društvene mreže,4,160,0
321,27,ženski,2,srednja,2,društvene mreže,4,263,0
322,65,muški,2,srednja,3,TV,8,249,0
323,32,ženski,2,srednja,1,portal,10,220,0
324,65,muški,1,osnovna,1,portal,8,136,0
325,36,ženski,3,viša,5,tisak,3,144,0
326,25,ženski,2,srednja,1,portal,7,70,0
327,53,muški,2,srednja,1,portal,5,221,0
328,39,muški,1,osnovna,2,društvene mreže,2,176,0
329,29,muški,3,viša,1,portal,4,97,12
330,25,ženski,3,viša,1,portal,4,131,31
331,80,muški,3,viša,1,portal,5,329,0
332,31,muški,2,srednja,1,portal,6,141,0
333,37,ženski,3,viša,2,društvene mreže,5,193,0
334,49,ženski,2,srednja,4,radio,4,185,0
335,24,ženski,2,srednja,4,radio,5,111,0
336,64,muški,3,viša,1,portal,4,299,0
337,29,muški,2,srednja,2,društvene mreže,6,168,0
338,36,ženski,3,viša,5,tisak,3,157,17
339,48,ženski,2,srednja,1,portal,2,293,0
340,67,ženski,1,osnovna,5,tisak,7,132,0
341,80,muški,3,viša,4,radio,5,204,0
342,30,muški,1,osnovna,2,društvene mreže,4,203,0
343,25,ženski,2,srednja,3,TV,7,236,0
344,43,muški,1,osnovna,2,društvene mreže,10,113,0
345,33,muški,1,osnovna,1,portal,4,190,0
346,62,muški,2,srednja,3,TV,7,142,0
347,43,ženski,1,osnovna,4,radio,1,101,159
348,51,ženski,2,srednja,2,društvene mreže,4,91,0
349,27,ženski,4,diplomska,2,društvene mreže,5,102,21
350,40,ženski,3,viša,1,portal,5,177,0
351,32,ženski,2,srednja,1,portal,3,254,16
352,50,ženski,1,osnovna,5,tisak,5,180,16
353,80,ženski,4,diplomska,4,radio,5,201,0
354,35,ženski,2,srednja,2,društvene mreže,5,116,0
355,29,muški,1,osnovna,2,društvene mreže,2,165,0
356,28,ženski,1,osnovna,2,društvene mreže,4,88,0
357,36,ženski,1,osnovna,1,portal,6,160,0
358,19,muški,2,srednja,2,društvene mreže,2,123,0
359,31,muški,1,osnovna,2,društvene mreže,7,72,0
360,42,muški,3,viša,3,TV,8,297,0
361,33,ženski,3,viša,2,društvene mreže,4,190,0
362,31,ženski,1,osnovna,5,tisak,3,202,0
363,50,muški,4,diplomska,1,portal,6,258,0
364,36,muški,2,srednja,2,društvene mreže,2,240,0
365,25,ženski,2,srednja,2,društvene mreže,6,141,0
366,51,ženski,2,srednja,1,portal,2,234,0
367,55,muški,3,viša,4,radio,4,163,0
368,80,muški,4,diplomska,3,TV,6,233,0
369,37,muški,2,srednja,1,portal,3,256,0
370,26,muški,3,viša,3,TV,3,112,30
371,54,ženski,1,osnovna,4,radio,4,434,39
372,56,muški,1,osnovna,3,TV,4,246,19
373,36,muški,2,srednja,2,društvene mreže,7,156,0
374,19,muški,1,osnovna,2,društvene mreže,3,109,0
375,36,muški,2,srednja,1,portal,3,143,0
376,29,ženski,1,osnovna,1,portal,5,227,0
377,39,ženski,1,osnovna,3,TV,5,148,0
378,26,ženski,1,osnovna,2,društvene mreže,2,165,0
379,36,ženski,2,srednja,1,portal,2,75,0
380,80,ženski,2,srednja,1,portal,3,120,0
381,35,muški,3,viša,1,portal,2,164,0
382,28,muški,1,osnovna,1,portal,6,125,0
383,50,muški,2,srednja,2,društvene mreže,3,226,0
384,28,muški,4,diplomska,2,društvene mreže,6,176,0
385,80,ženski,3,viša,1,portal,9,347,0
386,38,ženski,3,viša,1,portal,4,123,0
387,60,ženski,4,diplomska,3,TV,6,284,0
388,30,muški,2,srednja,1,portal,4,113,10
389,29,muški,2,srednja,2,društvene mreže,6,194,0
390,41,muški,2,srednja,1,portal,7,221,12
391,26,muški,2,srednja,4,radio,5,244,0
392,40,ženski,3,viša,2,društvene mreže,4,137,0
393,33,muški,3,viša,4,radio,6,84,18
394,24,ženski,1,osnovna,1,portal,9,118,0
395,44,muški,2,srednja,1,portal,3,283,31
396,29,ženski,2,srednja,4,radio,5,264,0
397,31,muški,1,osnovna,2,društvene mreže,2,183,0
398,65,ženski,2,srednja,3,TV,5,259,0
399,25,ženski,2,srednja,4,radio,4,173,9
400,44,muški,2,srednja,2,društvene mreže,5,263,35
401,36,muški,2,srednja,5,tisak,10,168,0
402,42,muški,1,osnovna,1,portal,8,140,0
403,80,ženski,2,srednja,5,tisak,7,258,0
404,22,muški,2,srednja,3,TV,4,120,0
405,80,ženski,2,srednja,1,portal,5,208,0
406,57,muški,3,viša,4,radio,6,168,0
407,51,ženski,3,viša,1,portal,6,213,0
408,40,muški,1,osnovna,1,portal,9,161,0
409,44,muški,2,srednja,2,društvene mreže,2,140,0
410,62,muški,4,diplomska,3,TV,10,254,13
411,40,ženski,3,viša,3,TV,7,155,0
412,31,muški,2,srednja,1,portal,7,217,0
413,30,ženski,2,srednja,2,društvene mreže,1,142,0
414,58,muški,2,srednja,1,portal,5,80,0
415,35,ženski,2,srednja,1,portal,3,150,0
416,37,ženski,4,diplomska,1,portal,7,148,0
417,40,ženski,3,viša,3,TV,3,163,34
418,43,muški,3,viša,3,TV,8,174,22
419,60,muški,3,viša,3,TV,8,179,50
420,35,ženski,2,srednja,2,društvene mreže,5,187,0
421,29,muški,2,srednja,1,portal,5,116,20
422,27,muški,2,srednja,5,tisak,6,167,25
423,33,ženski,2,srednja,1,portal,7,116,0
424,78,muški,3,viša,2,društvene mreže,3,204,10
425,23,ženski,2,srednja,2,društvene mreže,6,261,0
426,22,muški,2,srednja,5,tisak,7,150,0
427,36,muški,1,osnovna,1,portal,3,249,0
428,29,muški,3,viša,2,društvene mreže,3,190,0
429,30,muški,1,osnovna,1,portal,4,246,0
430,61,ženski,3,viša,2,društvene mreže,5,297,0
431,62,ženski,2,srednja,1,portal,6,196,0
432,30,muški,3,viša,2,društvene mreže,9,107,0
433,53,muški,1,osnovna,3,TV,3,128,19
434,66,muški,2,srednja,3,TV,5,188,0
435,25,ženski,3,viša,1,portal,3,272,0
436,21,ženski,4,diplomska,4,radio,4,178,0
437,75,muški,2,srednja,5,tisak,4,372,24
438,27,ženski,2,srednja,3,TV,7,226,0
439,36,ženski,3,viša,2,društvene mreže,4,255,17
440,55,muški,3,viša,4,radio,5,328,26
441,80,ženski,1,osnovna,4,radio,10,307,18
442,68,muški,4,diplomska,3,TV,6,157,0
443,43,ženski,3,viša,1,portal,7,229,0
444,28,muški,2,srednja,2,društvene mreže,3,201,0
445,34,muški,2,srednja,3,TV,7,194,0
446,52,ženski,4,diplomska,2,društvene mreže,4,189,0
447,26,muški,2,srednja,2,društvene mreže,4,120,0
448,31,muški,1,osnovna,3,TV,7,257,27
449,30,muški,4,diplomska,1,portal,6,103,0
450,61,muški,2,srednja,2,društvene mreže,3,156,0
451,49,ženski,4,diplomska,1,portal,1,433,0
452,28,muški,3,viša,4,radio,6,159,0
453,36,ženski,2,srednja,2,društvene mreže,4,139,0
454,51,ženski,2,srednja,5,tisak,6,123,0
455,35,ženski,1,osnovna,2,društvene mreže,3,221,0
456,33,ženski,2,srednja,4,radio,7,223,0
457,40,muški,2,srednja,3,TV,5,169,0
458,26,muški,1,osnovna,1,portal,7,190,0
459,36,muški,2,srednja,1,portal,6,217,85
460,38,muški,3,viša,3,TV,8,211,0
461,35,ženski,2,srednja,2,društvene mreže,1,158,0
462,29,ženski,3,viša,2,društvene mreže,7,218,0
463,21,ženski,3,viša,3,TV,3,294,33
464,23,muški,2,srednja,2,društvene mreže,4,194,0
465,32,muški,2,srednja,2,društvene mreže,5,257,0
466,40,muški,1,osnovna,3,TV,6,298,0
467,70,ženski,2,srednja,3,TV,3,189,0
468,27,ženski,3,viša,2,društvene mreže,4,130,0
469,35,muški,1,osnovna,3,TV,2,158,0
470,30,muški,4,diplomska,2,društvene mreže,3,229,33
471,26,ženski,1,osnovna,2,društvene mreže,5,161,16
472,80,ženski,2,srednja,4,radio,6,138,0
473,77,muški,3,viša,4,radio,6,188,0
474,41,ženski,3,viša,4,radio,7,67,32
475,34,muški,2,srednja,1,portal,2,110,0
476,68,muški,2,srednja,3,TV,2,98,0
477,26,muški,4,diplomska,2,društvene mreže,3,128,0
478,32,ženski,2,srednja,5,tisak,5,238,0
479,46,muški,2,srednja,1,portal,6,264,0
480,80,muški,2,srednja,1,portal,3,219,0
481,39,muški,1,osnovna,2,društvene mreže,5,131,0
482,46,muški,3,viša,2,društvene mreže,2,117,0
483,35,ženski,3,viša,2,društvene mreže,6,166,0
484,29,muški,3,viša,2,društvene mreže,2,187,0
485,36,ženski,2,srednja,1,portal,5,115,0
486,80,muški,1,osnovna,1,portal,7,284,0
487,36,ženski,2,srednja,1,portal,7,117,0
488,48,muški,3,viša,1,portal,5,226,0
489,23,ženski,3,viša,2,društvene mreže,2,207,0
490,28,muški,2,srednja,1,portal,5,147,0
491,75,muški,2,srednja,3,TV,4,158,0
492,29,ženski,2,srednja,2,društvene mreže,4,124,0
493,80,muški,2,srednja,1,portal,7,208,0
494,56,muški,1,osnovna,3,TV,8,49,0
495,33,muški,2,srednja,1,portal,2,276,0
496,36,ženski,2,srednja,2,društvene mreže,3,166,0
497,21,muški,3,viša,3,TV,4,135,0
498,26,ženski,4,diplomska,4,radio,8,110,19
499,33,muški,2,srednja,1,portal,1,275,0
500,31,ženski,3,viša,2,društvene mreže,3,111,0
501,26,muški,2,srednja,4,radio,8,96,15
502,36,ženski,2,srednja,1,portal,4,112,0
503,33,muški,2,srednja,2,društvene mreže,1,80,0
504,57,muški,2,srednja,1,portal,4,336,0
505,28,ženski,3,viša,2,društvene mreže,4,233,0
506,50,muški,1,osnovna,2,društvene mreže,4,173,0
507,56,muški,1,osnovna,4,radio,5,103,0
508,24,ženski,2,srednja,3,TV,4,160,0
509,46,muški,2,srednja,3,TV,4,209,0
510,43,ženski,2,srednja,5,tisak,5,128,0
511,27,ženski,1,osnovna,1,portal,3,151,20
512,63,ženski,3,viša,3,TV,6,221,0
513,31,muški,2,srednja,2,društvene mreže,5,197,0
514,42,ženski,2,srednja,3,TV,8,123,0
515,72,ženski,2,srednja,4,radio,6,231,0
516,22,muški,3,viša,1,portal,3,44,0
517,43,muški,2,srednja,2,društvene mreže,3,249,0
518,39,ženski,2,srednja,2,društvene mreže,3,193,0
519,65,ženski,2,srednja,3,TV,5,148,0
520,22,muški,2,srednja,4,radio,1,219,0
521,23,ženski,1,osnovna,4,radio,6,152,0
522,52,muški,2,srednja,4,radio,6,209,23
523,46,ženski,2,srednja,3,TV,4,167,0
524,23,ženski,4,diplomska,3,TV,6,147,21
525,29,ženski,3,viša,4,radio,6,229,0
526,22,muški,3,viša,1,portal,8,103,15
527,37,muški,4,diplomska,1,portal,6,239,0
528,46,muški,1,osnovna,1,portal,5,81,0
529,35,muški,2,srednja,5,tisak,3,112,0
530,24,muški,3,viša,3,TV,7,89,0
531,37,muški,2,srednja,4,radio,3,136,0
532,50,ženski,2,srednja,3,TV,1,289,0
533,38,ženski,2,srednja,2,društvene mreže,4,199,0
534,35,ženski,1,osnovna,2,društvene mreže,4,103,24
535,33,muški,2,srednja,1,portal,4,164,0
536,35,ženski,4,diplomska,2,društvene mreže,1,175,0
537,35,muški,1,osnovna,1,portal,7,145,0
